agent_id,workspace_id,creator_user_id,agent_name,model,connected_tools
AGT-54716,WS-6305,USR-20561,Sales Prospector - Serve,Claude 3.5 Sonnet,['Notion']
AGT-27913,WS-6305,USR-98630,Data Analyst - Accept,Mistral Large,['GitHub']
AGT-34664,WS-6305,USR-98630,Market Researcher - Experience,Mistral Large,"['Zendesk', 'GitHub', 'Slack']"
AGT-80377,WS-6305,USR-29781,Code Reviewer - Quality,Claude 3.5 Sonnet,['Slack']
AGT-11966,WS-6305,USR-84231,Sales Prospector - Push,Mistral Large,"['Snowflake', 'GitHub']"
AGT-52322,WS-6305,USR-26952,Sales Prospector - Wind,GPT-4o,"['GitHub', 'Salesforce']"
AGT-13614,WS-6305,USR-10030,Support Router - Difference,GPT-4o,"['Slack', 'Salesforce']"
AGT-52145,WS-2186,USR-21112,Data Analyst - General,Mistral Large,"['Zendesk', 'GitHub']"
AGT-13550,WS-2186,USR-72656,Data Analyst - Range,Gemini 1.5 Pro,['Notion']
AGT-73743,WS-2186,USR-21112,Code Reviewer - Into,Gemini 1.5 Pro,['Notion']
AGT-89925,WS-2186,USR-68097,Sales Prospector - Respond,Claude 3.5 Sonnet,"['GitHub', 'Notion', 'Zendesk']"
AGT-54272,WS-2186,USR-35533,Code Reviewer - Contain,Mistral Large,"['Notion', 'Slack']"
AGT-17529,WS-2186,USR-55125,Code Reviewer - Treat,Claude 3.5 Sonnet,"['Notion', 'Slack']"
AGT-64299,WS-2186,USR-18094,Market Researcher - Style,Mistral Large,"['Salesforce', 'Slack']"
AGT-15959,WS-2186,USR-41377,Data Analyst - Begin,Gemini 1.5 Pro,"['Notion', 'Slack', 'GitHub']"
AGT-92091,WS-4517,USR-19491,Support Router - Position,Gemini 1.5 Pro,"['Zendesk', 'Slack']"
AGT-53846,WS-4517,USR-43896,Data Analyst - Stand,Claude 3.5 Sonnet,['Notion']
AGT-74796,WS-4517,USR-23733,Data Analyst - Piece,Mistral Large,['Slack']
